collection,id,manuscript,groups,source_date,source_title,source_catalog_or_lot_number,sale_selling_agent,sale_seller_or_holder,sale_buyer,sale_sold,sale_price,titles,authors,dates,date_ranges,artists,scribes,languages,materials,places,uses,folios,num_columns,num_lines,height,width,alt_size,miniatures_fullpage,miniatures_large,miniatures_small,miniatures_unspec_size,initials_historiated,initials_decorated,manuscript_binding,manuscript_link,other_info,provenance,created_at,created_by,updated_at,updated_by,approved,deprecated,superceded_by_id,draft,extent,layout
3,,,,,,BV 56,,,,,,Notebook of magical formulae.;[Notebook of magical formulae].,,1924,,,,Arabic,paper,,,,,,,,,,,,,,,Bound in a plain paper wrapper.,http://openn.library.upenn.edu/Data/0003/bv_056/data/bv_056_TEI.xml,,Copy completed on 26 Dhū al-Ḥijjah 1342 A.H. (July 1924) by [illegible] Fardī (p. [13]).;Gift of Felix Usis in 1983.,,,,,,,,,"i, 13 leaves : 170 x 105 (140 x 90) mm bound to 170 x 108 mm",Written in 13 long lines.
3,,,,,,BV 47,,,,,,al-Mazāmīr al-muqaddasah.;Mazāmīr al-muqaddasah.,,916 or 917,,,"Buṭrus ibn Yūsuf, active 916",Arabic,parchment,Levant,,,,,,,,,,,,,,Bound in modern brown leather over wooden boards with nails.,http://openn.library.upenn.edu/Data/0003/bv_047/data/bv_047_TEI.xml,,"Copy completed in 304 A.H. (al-ḥālīyah) (916-917 C.E.), by Buṭrus ibn Yūsuf (f. 76v).;Gift of Howard Lehman Goodhart in 1949.;Formerly owned by Anrold J. Mettler (bookplate inside front cover) as part of the Arnold Mettler-Specker Collection on loan to the Zurich Zentralbibliothek under the designation Or. 94.;Sold at the Parke-Bernet Galleries sale held on 29-30 November 1948, catalog entry number 303 (clipping pasted onto front and back pastedowns with note in pencil inside back cover).;Purchased by Howard Lehman Goodhart (bookplate inside front cover) in 1948 and listed as MS 84 in his book of purchases.",,,,,,,,,79 foliated leaves : 190 x 135 (150 x 120) mm bound to 195 x 140 mm,Written in 20 long lines.
3,,,,,,BV 48,,,,,,Devotional book.;[Devotional book],,1777,,,,"Arabic;Turkish, Ottoman (1500-1928)",paper,Turkey?,,,,,,,,,,,,,,Bound in red leather over pasteboard (Type III); gilt stamped paper onlay central mandorla and two pendants on the vertical axis with gold tooled frame on front cover; back cover has blind-stamped central mandorla.,http://openn.library.upenn.edu/Data/0003/bv_048/data/bv_048_TEI.xml,,"Copy completed on 7 Ramadan 1191 A.H. (October 1777) by Muṣṭafá, a student of ʻAbd Allāh (f. 70v);Presumed to be a gift of Doreen Canaday Spitzer.;Formerly owned by Muḥammad al-Ghazlāwī (waqf note f. 1r).",,,,,,,,,"i, 76, i leaves : 162 x 105 (103 x 54) mm bound to 163 x 107 mm",Written in 11 long lines; border-ruled.
3,,,,,,BV 49,,,,,,Subḥat al-abrār.,"Jāmī, 1414-1492",1529 or 1530,,,"Kishvarī, Niʻmat Allāh ibn Zayn al-ʻĀbdīn Rūdbārī, active 1529",Persian,paper,,,,,,,,,,,,,,,"Bound in brown leather over pasteboard (Type III); blind stamped central mandorla with two pendants on the vertical axis, inner and outer frames. Pastedowns of plain paper covered in pen tests and notations.",http://openn.library.upenn.edu/Data/0003/bv_049/data/bv_049_TEI.xml,,Copy completed in 936 A.H. by Niʻmat Allāh ibn Zayn al-ʻAbdīn Rūdbārī al-mashhūr bi-Kishvarī (f. 79v).,,,,,,,,,"79, i leaves : 204 x 125 (134 x 73) mm bound to 207 x 125 mm",Written in 12 lines in two columns; border-ruled.
3,,,,,,BV 50,,,,,,Gulistān.;Gulistān.,Saʻdī,1582 or 1583,,,"Nāmrād, Abū Bakr ibn Tāj al-Dīn, active 1582",Persian,paper,,,,,,,,,,,,,,,Textblock disbound from covers; covers of black leather over pasteboard (Type III); piece of leather added across lower spine to connect front and back boards. Endpapers covered in pen tests and notations.,http://openn.library.upenn.edu/Data/0003/bv_050/data/bv_050_TEI.xml,,Copy completed in 990 A.H. by Abū Bakr ibn Tāj al-Dīn Nāmrād (f. 116r).,,,,,,,,,116 foliated leaves : 190 x 134 (130 x 86) mm bound to 190 x 134 mm,"Written in 11 to 15 long lines, partially border-ruled."
3,,,,,,BV 51,,,,,,Khamsah.;Haft paykar,"Niẓāmī Ganjavī, 1140 or 1141-1202 or 1203",between 1405 and 1414?,,,"Ḥāfiẓ, Ḥasan, active 15th century",Persian,paper,"Shiraz, Iran",,,,,,,,,,,,,,"Lacquered binding of flowers on a black field with floral frame; inside covers have a brown field with black frame and three gold tooled inset frames. Slipcase with ""Collected poems in Persian"" printed on it in gold.",http://openn.library.upenn.edu/Data/0003/bv_051/data/bv_051_TEI.xml,,"Copy completed by Ḥasan al-Ḥāfiẓ (f. 111r) and has been dated to the early 15th century and was likely produced in the workshop of either Iskandar Sultan or Ibrahim Sultan (Yael Rice).;Gift of Doreen Canaday Spitzer.;Formerly owned by Ibrāhīm Sulṭān ibn Shāhrukh (decorative owner's statement, f. 3r).",,,,,,,,,183 foliated leaves : 108 x 67 (73 x 50) mm bound to 110 x 75 mm,Written in 19 lines in four columns; border-ruled.
3,,,,,,BV 52,,,,,,al-Qurʼān.,,1754 or 1755,,,"Jūdī, ʻUmar, active 1754",Arabic,paper,Turkey,,,,,,,,,,,,,,Bound in reddish leather over pasteboard with flap that does not match the depth of the textblock (Type II); covers with stamped paper onlay central mandorla and cornerpieces; blind tooled pendants on the vertical axis. Flap design matches cover design. Plain paper pastedowns.,http://openn.library.upenn.edu/Data/0003/bv_052/data/bv_052_TEI.xml,,"Copy completed in 1168 A.H. (1754 or 1755 C.E.) by ʻUmar al-Jūdī, al-maʻrūf al-Hājj Muḥammad al-Ḥamdī bi-Kūtāhī (p. 601).;Gift of Felix Usis in 1983.",,,,,,,,,"i, 300, i leaves : 190 x 125 (140 x 70) mm bound to 175 x 127 mm",Written in 15 long lines; border-ruled.
3,,,,,,BV 53,,,,,,Devotional book.;[Devotional book],,1771 or 1772,,,"Kūtāhī, Muṣṭafá, active 1771",Arabic,paper,Iran?,,,,,,,,,,,,,,"Bound in paper with large, gilded flower and frame; remnants of a red spine.",http://openn.library.upenn.edu/Data/0003/bv_053/data/bv_053_TEI.xml,,"Copied in 1158 A.H. (1771 or 1772 C.E.) by Muṣṭafá al-maʻrūf bi-Kūtāhī (f. 60r).;Gift of Blanche Wolf Kohn, Bryn Mawr College 1908, on 2 June 1958.",,,,,,,,,70 foliated leaves : 175 x 120 (108 x 54) mm bound to 175 x 127 mm,Written in 9 long lines; border-ruled.
3,,,,,,BV 54,,,,,,Hādhā kitāb sharḥ Mashāriq.;Table of contents;Hādhā kitāb sharḥ Mashāriq,"Ibn Malak, ʻAbd al-Laṭīf ibn ʻAbd al-ʻAzīz;Ṣaghānī, al-Ḥasan ibn Muḥammad, 1181-1252",1753,,,"Muḥammad ibn Muṣṭafá ibn Muḥammad, active 1753",Arabic;Persian,paper,Turkey?,,,,,,,,,,,,,,Bound in dark brown leather over pasteboard (Type III); blind stamped central mandorla and blind tooled frame.,http://openn.library.upenn.edu/Data/0003/bv_054/data/bv_054_TEI.xml,,"Copy completed in Jumādá al-Ūlá, 1166 A.H. (1753 C.E.) by Muḥammad ibn Muṣṭafá ibn Muḥammad.;Gift of Felix Usis in 1983; forms part of the Usis Collection",,,,,,,,,"ii, 312, iii leaves : 212 x 157 (154 x 85) mm bound to 212 x 150 mm",Written in 27 long lines; border-ruled.
3,,,,,,BV 55,,,,,,Vaṣiyyet.;Table of contents;Vaṣiyyet,"Birgivî Mehmet Efendi, approximately 1522-1573",1784,,,"Ḥasan ibn ʻUthmān, active 1784","Turkish, Ottoman (1500-1928);Arabic",paper,Turkey,,,,,,,,,,,,,,The boards are missing; the gatherings are still connected by sewing.,http://openn.library.upenn.edu/Data/0003/bv_055/data/bv_055_TEI.xml,,Copy completed in Jumādá al-Ākhirah 1198 A.H. by Ḥasan ibn ʻUthmān (f. 130v).,,,,,,,,,130 leaves : 182 x 115 (125 x 66 ) mm,Written in 15 long lines.
3,,,,,,BV 57,,,,,,Sīrat al-Nabī Muḥammad.;Sīrat al-Nabī Muḥammad.,"Ghayṭī, Muḥammad ibn Aḥmad, 1504 or 1505-1573 or 1574",1838,,,"Saʻdī, Ḥusayn, active 1838",Arabic,paper,,,,,,,,,,,,,,,Bound in patterned black paper over card (Type III) with blue textile spine.,http://openn.library.upenn.edu/Data/0003/bv_057/data/bv_057_TEI.xml,,"Copy completed 19 Shaʻbān 1254 A.H. (November 1838) (f. 20r); the copyist also signs his name, Ḥusayn al-Saʻdī, on the title page.;Gift of Felix Usis in 1983.",,,,,,,,,"i, 20, i leaves : 213 x 160 (75 x 70) mm bound to 221 x 162 mm",Written in 10-15 long lines with commentary on three sides.
3,,,,,,BV 58,,,,,,Calligraphic album.;[Calligraphic album].,"Riżā, Ḥasan, active 1889",1889 or 1890,,,,Arabic,paper,Turkey?,,,,,,,,,,,,,,Bound in red leather over pasteboard (Type III) with gilt stamped and tooled central mandorla and frame. Bright green painted doublure.,http://openn.library.upenn.edu/Data/0003/bv_058/data/bv_058_TEI.xml,,"Copy completed in 1307 A.H. (1889 or 1890) by Ḥasan Riżā (f. 4r, 7r).",,,,,,,,,7 leaves : 300 x 235 (220 x 160) mm bound to 302 x 237 mm,"Three layouts: 1) Three larger lines with two sets of 4 or 5 lines between each set of larger lines, 2) Two larger lines at the head and tail of the page with 7 to 11 lines in the middle, 3) Four larger lines with three sets of two lines in between. All pages border-ruled and framed in blue paper."
